Title,Descriptions,Release,Directors,Rating,Durations,Votes,Genres,Stars
Suurenmoisen lahjakkuuden sietämätön taakaa,"A cash-strapped Nicolas Cage agrees to make a paid appearance at a billionaire super fan's birthday party, but is really an informant for the CIA since the billionaire fan is a drug kingpin and gets cast in a Tarantino movie.",2022,Tom Gormican,9.2,105,,"Action, Comedy, Crime","Nicolas Cage, Jacob Scipio, Pedro Pascal, Demi Moore"
Seitsemän,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",1995,David Fincher,8.6,127,"1,570","Crime, Drama, Mystery","Morgan Freeman, Brad Pitt, Kevin Spacey, Andrew Kevin Walker"
The Devil All the Time,Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.,2020,Antonio Campos,7.1,138,"124,070","Crime, Drama, Thriller","Bill Skarsgård, Tom Holland, Michael Banks Repeta, Emilio Subercaseaux Campos"
Good Time,"After a botched bank robbery lands his younger brother in prison, Connie Nikas embarks on a twisted odyssey through New York City's underworld to get his brother Nick out of jail.",2017,"Benny Safdie, Josh Safdie",7.3,102,"113,414","Crime, Drama, Thriller","Robert Pattinson, Benny Safdie, Jennifer Jason Leigh, Buddy Duress"
The Outfit,An expert tailor must outwit a dangerous group of mobsters in order to survive a fateful night.,2022,Graham Moore,7.4,105,,"Crime, Drama","Mark Rylance, Zoey Deutch, Dylan O'Brien, Johnny Flynn"
Idän pikajunan arvoitus,"When a murder occurs on the train on which he's travelling, celebrated detective Hercule Poirot is recruited to solve the case.",2017,Kenneth Branagh,6.5,114,"237,847","Crime, Drama, Mystery","Kenneth Branagh, Penélope Cruz, Willem Dafoe, Judi Dench"
Kingsman: Kultainen kehä,"After the Kingsman's headquarters are destroyed and the world is held hostage, an allied spy organisation in the United States is discovered. These two elite secret organisations must band together to defeat a common enemy.",2017,Matthew Vaughn,6.7,141,"313,222","Action, Adventure, Comedy","Taron Egerton, Colin Firth, Mark Strong, Channing Tatum"
Ambulance,Two robbers steal an ambulance after their heist goes awry.,2022,Michael Bay,6.9,136,"1,058","Action, Crime, Drama","Jake Gyllenhaal, Yahya Abdul-Mateen II, Eiza González, Garret Dillahunt"
The Gentlemen,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",2019,Guy Ritchie,7.8,113,"307,244","Action, Comedy, Crime","Matthew McConaughey, Charlie Hunnam, Michelle Dockery, Jeremy Strong"
Miss Willoughby and the Haunted Bookshop,A University professor with an insatiable appetite for investigation is asked by some old family friends to investigate a series of hauntings at their antique bookstore.,2021,Brad Watson,5.3,90,,"Adventure, Crime, Mystery","Nathalie Cox, Kelsey Grammer, Louise Bangay, Tara Fitzgerald"
Zodiac,"Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.",2007,David Fincher,7.7,157,"518,153","Crime, Drama, Mystery","Jake Gyllenhaal, Robert Downey Jr., Mark Ruffalo, Anthony Edwards"
Nightride,"Nightride is a real time, one shot thriller about a dealer trying to pull off one last job in order to go straight.",2021,Stephen Fingleton,5.7,97,,"Crime, Drama, Thriller","Moe Dunford, Joana Ribeiro, Gerard Jordan, Ciaran Flynn"
Sans répit,"After going to extremes to cover up an accident, a corrupt cop's life spirals out of control when he starts receiving threats from a mysterious witness.",2022,Régis Blondeau,5.7,95,"2,771","Action, Crime, Thriller","Franck Gastambide, Simon Abkarian, Michaël Abiteboul, Tracy Gotoas"
Hurja jengi,"Several reformed yet misunderstood criminal animals attempt to become good, with some disastrous results along the way.",2022,Pierre Perifel,7.3,,,"Animation, Adventure, Comedy","Sam Rockwell, Marc Maron, Awkwafina, Craig Robinson"
Baby Driver,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",2017,Edgar Wright,7.6,113,"504,848","Action, Crime, Drama","Ansel Elgort, Jon Bernthal, Jon Hamm, Eiza González"
Wrath of Man,"The plot follows H, a cold and mysterious character working at a cash truck company responsible for moving hundreds of millions of dollars around Los Angeles each week.",2021,Guy Ritchie,7.1,119,"153,814","Action, Crime, Thriller","Jason Statham, Holt McCallany, Josh Hartnett, Rocci Williams"
Batgirl,"Based upon the popular DC character, Barbara Gordon dons the guise of Batgirl to fight crime.",2022,"Adil El Arbi, Bilall Fallah",,,,"Action, Adventure, Crime","Leslie Grace, J.K. Simmons, Michael Keaton, Brendan Fraser"
The Many Saints of Newark,"Witness the making of Tony Soprano. The story that reveals the humanity behind Tony's struggles and the influence his family - especially his uncle, Dickie Moltisanti - had over him becoming the most iconic mob boss of all time.",2021,Alan Taylor,6.3,120,"46,214","Crime, Drama","Alessandro Nivola, Leslie Odom Jr., Jon Bernthal, Vera Farmiga"
Menetetty maa,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,2007,"Ethan Coen, Joel Coen",8.2,122,"932,921","Crime, Drama, Thriller","Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson"
Cruella,A live-action prequel feature film following a young Cruella de Vil.,2021,Craig Gillespie,7.4,134,"214,613","Adventure, Comedy, Crime","Emma Stone, Emma Thompson, Joel Fry, Paul Walter Hauser"
Hiomattomat timantit,"With his debts mounting and angry collectors closing in, a fast-talking New York City jeweler risks everything in hope of staying afloat and alive.",2019,"Benny Safdie, Josh Safdie",7.4,135,"261,581","Crime, Drama, Thriller","Adam Sandler, Julia Fox, Idina Menzel, Mesfin Lamengo"
Uhrilampaat,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",1991,Jonathan Demme,8.6,118,"1,374","Crime, Drama, Thriller","Jodie Foster, Anthony Hopkins, Lawrence A. Bonney, Kasi Lemmons"
Leon,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",1994,Luc Besson,8.6,110,"1,117","Action, Crime, Drama","Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello"
Kummisetä osa II,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",1974,Francis Ford Coppola,9.0,202,"1,220","Crime, Drama","Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton"
